Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
58477,"O2energies, Inc.",58668,Rockwell Solar LLC,NC,Rowan,ROCKW,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.5,3.5,3.5,12,2014,,,,Y,,,,,,4.2,Y,,,,,
58661,"Sustainable Power Group, LLC",58669,Selma Solar LLC,NC,Johnston,SELMA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,9,2014,,,,Y,,,,,,6.5,Y,,,,,
59375,"Turkey Branch Solar, LLC",58670,Turkey Branch Solar LLC,NC,Robeson,TURKY,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,9,2014,,,,Y,,,,,,6.5,Y,,,,,
58477,"O2energies, Inc.",58673,Gates Solar LLC,NC,Gates,GATES,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2015,,,,Y,,,,,,6.5,Y,,,,,
58477,"O2energies, Inc.",58674,Cirrus Solar LLC,NC,Franklin,CIRRU,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2014,,,,Y,,,,,,6.5,Y,,,,,
58477,"O2energies, Inc.",58675,Chocowinity Solar LLC,NC,Beaufort,CHOCO,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,12,2014,,,,Y,,,,,,6.5,Y,,,,,
58611,Forest City Sustainable Resources Pearl City LLC,58676,Pearl City Peninsula Solar Park,HI,Honolulu,PCPPV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,11,2012,,,,Y,,,,,,1.2,Y,,,,,
58598,"Mass Solar, LLC",58680,Braley Road 2,MA,Bristol,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.7,2.7,2.7,3,2015,,,,Y,,,,,,3.5,Y,,,,,
58598,"Mass Solar, LLC",58682,Dartmouth,MA,Bristol,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,6.3,6.3,6.3,4,2014,,,,Y,,,,,,7.4,Y,,,,,
58611,Forest City Sustainable Resources Pearl City LLC,58684,Kapolei Solar Energy Park,HI,Honolulu,KSEPV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,2,2012,,,,Y,,,,,,1.2,Y,,,,,
58621,"SSA Solar of NM, LLC",58689,Blue Sky One,NM,Taos,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.3,1.3,1.3,10,2012,,,,Y,,,,,,1.5,Y,,,,,
