Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
11936,McBryde Sugar Co Ltd,58549,Port Allen Solar,HI,Kauai,1,OP,PV,IPP Non-CHP,2,6.0,6.0,6.0,12,2012,,,,Y,,,,,,7.2,Y,,,,,
13943,Ocean County Utilities Auth,54569,Bayville Central Facility,NJ,Ocean,CPV1,OP,PV,Commercial CHP,5,0.2,0.2,0.1,5,2007,,,,Y,,,,,,0.2,Y,,,,,
14328,Pacific Gas & Electric Co,57041,Vaca Dixon Solar Station,CA,Solano,1,OP,PV,Electric Utility,1,2.0,2.5,2.5,12,2009,,,,Y,,,,,,2.6,Y,,,,,
14328,Pacific Gas & Electric Co,57497,Stroud Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,20.0,20.0,20.0,9,2011,,,,Y,,,,,,24.6,Y,,,,,
14328,Pacific Gas & Electric Co,57498,Five Points Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,15.0,15.0,15.0,9,2011,,,,Y,,,,,,17.6,Y,,,,,
14328,Pacific Gas & Electric Co,57499,Westside Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,15.0,15.0,15.0,8,2011,,,,Y,,,,,,18.5,Y,,,,,
14328,Pacific Gas & Electric Co,57521,Giffen,CA,Fresno,1,OP,PV,Electric Utility,1,10.0,10.0,10.0,6,2012,,,,Y,,,,,,13.1,Y,,,,,
14328,Pacific Gas & Electric Co,57522,Cantua Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,20.0,20.0,20.0,6,2012,,,,Y,,,,,,26.3,Y,,,,,
14328,Pacific Gas & Electric Co,57523,Huron Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,20.0,20.0,20.0,6,2012,,,,Y,,,,,,26.8,Y,,,,,
14328,Pacific Gas & Electric Co,57891,Guernsey Solar Station,CA,Kings,1,OP,PV,Electric Utility,1,20.0,20.0,20.0,8,2013,,Y,,,,,,,,25.5,Y,,,,,
14328,Pacific Gas & Electric Co,57892,Gates Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,20.0,20.0,20.0,6,2013,,,,Y,,,,,,27.7,Y,,,,,
14328,Pacific Gas & Electric Co,58206,West Gates Solar Station,CA,Fresno,1,OP,PV,Electric Utility,1,10.0,10.0,10.0,5,2013,,,,Y,,,,,,12.9,Y,,,,,
