Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?
195,Alabama Power Co,12.0,Holt Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,,S,X,X,,,46.9,0.89,45,45,45,N, , ,OP,X,8.0,1968.0, ,2045,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,13.0,Jordan Dam,AL,Elmore,1,Conventional Hydroelectric,HY,,S,X,X,,,25.0,0.862,25,25,25,N, , ,OP,X,1.0,1929.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,13.0,Jordan Dam,AL,Elmore,2,Conventional Hydroelectric,HY,,S,X,X,,,25.0,0.862,25,25,25,N, , ,OP,X,1.0,1929.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,13.0,Jordan Dam,AL,Elmore,3,Conventional Hydroelectric,HY,,S,X,X,,,25.0,0.862,25,25,25,N, , ,OP,X,1.0,1929.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,13.0,Jordan Dam,AL,Elmore,4,Conventional Hydroelectric,HY,,S,X,X,,,25.0,0.862,25,25,25,N, , ,OP,X,1.0,1929.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,14.0,Logan Martin Dam,AL,Talladega,1,Conventional Hydroelectric,HY,,S,X,X,,,42.7,0.9,45,41.6,41.6,N, , ,OP,X,8.0,1964.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,14.0,Logan Martin Dam,AL,Talladega,2,Conventional Hydroelectric,HY,,S,X,X,,,42.7,0.9,45,41.6,41.6,N, , ,OP,X,8.0,1964.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,14.0,Logan Martin Dam,AL,Talladega,3,Conventional Hydroelectric,HY,,S,X,X,,,42.7,0.9,45,41.8,41.8,N, , ,OP,X,8.0,1964.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,15.0,Lay Dam,AL,Chilton,1,Conventional Hydroelectric,HY,,S,X,X,,,29.5,0.9,29.8,30,29,N, , ,OP,X,4.0,1968.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,15.0,Lay Dam,AL,Chilton,2,Conventional Hydroelectric,HY,,S,X,X,,,29.5,0.9,29.8,30,29,N, , ,OP,X,4.0,1968.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
