Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT5,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72.1,82.6,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT6,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72.1,82.6,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT7,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72,82.5,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT8,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72,82.5,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
58149,Renewable World Energies LLC,55684.0,Flambeau Crowley Rapids Project,WI,Price,GEN1,Conventional Hydroelectric,HY,,S,X,X,,,1.0,0.8,1,1,0,N, , ,OP,X,1.0,1930.0, , ,N,IPP Non-CHP,2.0,X,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
58149,Renewable World Energies LLC,55684.0,Flambeau Crowley Rapids Project,WI,Price,GEN2,Conventional Hydroelectric,HY,,S,X,X,,,0.5,0.8,0.5,0.5,0,N, , ,OP,X,1.0,1930.0, , ,N,IPP Non-CHP,2.0,X,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
58149,Renewable World Energies LLC,55685.0,Flambeau Lower Project,WI,Price,GEN1,Conventional Hydroelectric,HY,,S,X,X,,,0.4,0.8,0.4,0.4,0,N, , ,OP,X,1.0,1923.0, , ,N,IPP Non-CHP,2.0,X,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
58149,Renewable World Energies LLC,55685.0,Flambeau Lower Project,WI,Price,GEN2,Conventional Hydroelectric,HY,,S,X,X,,,0.4,0.8,0.4,0.4,0,N, , ,OP,X,1.0,1923.0, , ,N,IPP Non-CHP,2.0,X,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
58149,Renewable World Energies LLC,55685.0,Flambeau Lower Project,WI,Price,GEN3,Conventional Hydroelectric,HY,,S,X,X,,,0.4,0.8,0.4,0.4,0,N, , ,OP,X,1.0,1923.0, , ,N,IPP Non-CHP,2.0,X,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
13407,Nevada Power Co,55687.0,Higgins Generating Station,NV,Clark,A01,Natural Gas Fired Combined Cycle,CT,PB1,S,X,N,,,178.0,0.85,177,167,100,N, , ,OP,X,2.0,2004.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
13407,Nevada Power Co,55687.0,Higgins Generating Station,NV,Clark,A02,Natural Gas Fired Combined Cycle,CT,PB1,S,X,N,,,178.0,0.85,177,167,100,N, , ,OP,X,2.0,2004.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
13407,Nevada Power Co,55687.0,Higgins Generating Station,NV,Clark,ST1,Natural Gas Fired Combined Cycle,CA,PB1,S,Y,X,,,332.4,0.85,266,283,110,N, , ,OP,X,2.0,2004.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG1,Natural Gas Fired Combined Cycle,CT,1234,S,X,Y,5021694,5021694,127.0,0.85,125,125,80,N, , ,OP,X,12.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG2,Natural Gas Fired Combined Cycle,CT,1234,S,X,Y,5021695,5021695,127.0,0.85,125,125,80,N, , ,OP,X,12.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG3,Natural Gas Fired Combined Cycle,CT,1234,S,X,Y,5021696,5021696,127.0,0.85,125,125,80,N, , ,OP,X,12.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,N,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG5,Natural Gas Fired Combined Cycle,CT,5678,S,X,Y,5021698,5021698,127.0,0.85,125,125,80,N, , ,OP,X,1.0,2003.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG6,Natural Gas Fired Combined Cycle,CT,5678,S,X,Y,5021699,5021699,127.0,0.85,125,125,80,N, , ,OP,X,2.0,2003.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,CTG7,Natural Gas Fired Combined Cycle,CT,5678,S,X,Y,32947155,32947155,127.0,0.85,125,125,80,N, , ,OP,X,4.0,2003.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,STG4,Natural Gas Fired Combined Cycle,CA,1234,S,N,X,32947157,32947157,195.5,0.85,193,193,40,N, , ,OP,X,5.0,2003.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
56607,Calpine Bethlehem LLC,55690.0,Bethlehem Power Plant,PA,Northampton,STG8,Natural Gas Fired Combined Cycle,CA,5678,S,N,X,32947159,32947159,195.5,0.85,193,193,40,N, , ,OP,X,12.0,2003.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
18642,Tennessee Valley Authority,55694.0,Quantum Choctaw Power LLC,MS,Choctaw,CT1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,270.0,1,220,240,0.9,N, , ,OP,X,6.0,2006.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
18642,Tennessee Valley Authority,55694.0,Quantum Choctaw Power LLC,MS,Choctaw,CT2,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,270.0,1,220,240,0.9,N, , ,OP,X,11.0,2006.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
18642,Tennessee Valley Authority,55694.0,Quantum Choctaw Power LLC,MS,Choctaw,ST1,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,310.5,1,270,285,0.9,N, , ,OP,X,7.0,2006.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,
7724,MRP San Joaquin Energy LLC.,55698.0,Hanford Energy Park Peaker,CA,Kings,HEP1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GWFPWR_1_UNITS-APND,GWFPWR_1_UNITS-APND,46.1,0.85,45.9,48.7,22,N, , ,OP,X,9.0,2001.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
7724,MRP San Joaquin Energy LLC.,55698.0,Hanford Energy Park Peaker,CA,Kings,HEP2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,GWFPWR_1_UNITS-APND,GWFPWR_1_UNITS-APND,46.1,0.85,45.9,48.7,22,N, , ,OP,X,9.0,2001.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
1268,Bayswater Peaking Facility LLC,55699.0,Bayswater Peaking Facility LLC,NY,Queens,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,24212,,60.5,1,55.8,50,26,N, , ,OP,X,6.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N,0,1H,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,N
15500,Puget Sound Energy Inc,55700.0,Mint Farm Generating Station,WA,Cowlitz,1STG,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,133.0,0.85,120,129,58,N, , ,OP,X,1.0,2008.0, , ,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
