Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
15500,Puget Sound Energy Inc,99,Frederickson,WA,Pierce,2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,88.9,67,81.1,11,1981,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,67,81.1,67,81.1,1H,1H,Y,Y,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,23.6,18,22,7,1971,NG,DFO,Y,N,,,,,,,Y,N,18,19,18,19,UNK,1H,N,,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,23.6,18,22,7,1971,NG,DFO,Y,N,,,,,,,Y,N,18,19,18,19,UNK,1H,N,,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,ST1,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,86.7,75,75,4,1959,NG,RFO,Y,N,,,,,,,Y,N,75,75,75,75,UNK,UNK,Y,Y,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,4,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,173.3,156,156,7,1967,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,27.0,24,26.8,12,1972,NG,DFO,Y,N,,,,,,,Y,Y,24,24,24,24,1H,1H,N,,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,27.0,24,26.8,12,1972,NG,DFO,Y,N,,,,,,,Y,Y,24,24,24,24,1H,1H,N,,,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF1,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,113.6,113,114,1,1958,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,113,114,113,114,6H,6H,Y,,Y,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF2,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,113.6,113,114,4,1957,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,113,114,113,114,6H,6H,Y,,Y,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF3,OP,Natural Gas Steam Turbine,ST,Electric Utility,1,163.2,181,184,4,1961,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,181,184,181,184,6H,6H,Y,,Y,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.5,73,87,5,1975,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,73,87,73,87,1H,1H,Y,,Y,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF5,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,71.2,73,82,7,1974,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,73,82,73,82,1H,1H,Y,,Y,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AF6,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,71.2,73,82,7,1974,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,73,82,73,82,1H,1H,Y,,Y,
16572,Salt River Project,147,Kyrene,AZ,Maricopa,KY1,OS,Natural Gas Steam Turbine,ST,Electric Utility,1,34.5,34,34,7,1952,NG,DFO,Y,N,,,,,,,Y,Y,34,34,34,34,1H,1H,Y,Y,Y,Y
16572,Salt River Project,147,Kyrene,AZ,Maricopa,KY2,OS,Natural Gas Steam Turbine,ST,Electric Utility,1,73.5,72,72,6,1954,NG,DFO,Y,N,,,,,,,Y,Y,72,72,72,72,1H,1H,Y,Y,Y,Y
16572,Salt River Project,147,Kyrene,AZ,Maricopa,KY4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,53.1,59,62.5,12,1971,NG,DFO,Y,N,,,,,,,Y,Y,59,62.5,59,62.5,1H,1H,Y,Y,Y,Y
16572,Salt River Project,147,Kyrene,AZ,Maricopa,KY5,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,60.3,53,62,7,1973,NG,DFO,Y,N,,,,,,,Y,Y,53,62,53,62.5,1H,1H,Y,Y,Y,Y
