Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,IA,Story,7,OP,ST,Electric Utility,1,37.5,32.6,32.6,SUB,OBS,Y,SUB,OBS,,,,,N,, , , , ,,,,,,
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,IA,Story,8,OP,ST,Electric Utility,1,71.3,67,67,SUB,OBS,Y,SUB,OBS,,,,,N,, , , , ,,,,,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,1,OP,GT,Electric Utility,1,12.5,14,16.2,NG,DFO,Y,NG,DFO,,,,,Y,Y,12.5, ,12.5, ,1H,1H,Y,Y,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,2,OP,GT,Electric Utility,1,12.5,14,16.2,NG,DFO,Y,NG,DFO,,,,,Y,Y,12.5, ,12.5, ,1H,1H,Y,Y,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,4,OP,GT,Electric Utility,1,27.0,31.1,33.2,NG,DFO,Y,NG,DFO,,,,,Y,Y,31, ,31, ,1H,1H,Y,Y,,
599,Anchorage Municipal Light and Power,6559,George M Sullivan Generation Plant 2,AK,Anchorage,5,OP,CT,Electric Utility,1,38.1,33.8,37.4,NG,DFO,Y,NG,DFO,,,,,Y,Y,33.8, ,33.8, ,1H,1H,Y,Y,,
599,Anchorage Municipal Light and Power,6559,George M Sullivan Generation Plant 2,AK,Anchorage,7,OP,CT,Electric Utility,1,102.6,102.6,81.8,NG,DFO,Y,NG,DFO,,,,,Y,Y,74.4, ,74.4, ,1H,1H,Y,Y,,
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN1,OP,ST,Industrial CHP,7,11.0,11,11,BIT,NG,Y,BIT,WDS,,,,,N,, , , , ,,,,,,
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN3,OP,ST,Industrial CHP,7,11.0,11,11,BIT,NG,Y,BIT,WDS,,,,,N,, , , , ,,,,,,
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,MO,St Louis City,GEN4,OP,ST,Industrial CHP,7,4.1,4.1,4.1,BIT,NG,Y,BIT,WDS,,,,,N,, , , , ,,,,,,
