Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Year,Technology,DC Net Capacity (MW),East West Fixed Tilt?,Tilt Angle,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Azimuth Angle,Bifacial?
62856,"Forefront Power, LLC",63060,Pearl CSG,NY,Genesee,29,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63079,Bethlehem Solar,NY,Albany,157,OP,PV,IPP Non-CHP,2,1.7,1.7,1.7,6,2019,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.2,,25,N, ,Y,2.2,0,
62856,"Forefront Power, LLC",63086,Frog Hollow CSG,NY,Ulster,1731,OP,PV,IPP Non-CHP,2,2.0,2.0,2,10,2019,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2,,7,N, ,Y,2,90,
62856,"Forefront Power, LLC",63106,Dover CSG,NY,Dutchess,21,OP,PV,IPP Non-CHP,2,2.0,2.0,2,9,2019,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3.1,,7,N, ,Y,3,90,
62856,"Forefront Power, LLC",63107,Howell CSG,NY,Orange,1725,OP,PV,IPP Non-CHP,2,2.0,2.0,2,2,2020,,Y,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,90,
62856,"Forefront Power, LLC",63108,Strauss CSG,NY,Seneca,30,OP,PV,IPP Non-CHP,2,2.0,2.0,2,9,2019,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3.1,,7,N, ,Y,3,90,
62856,"Forefront Power, LLC",63112,Ellsworth I CSG,NY,Saratoga,22,OP,PV,IPP Non-CHP,2,2.0,2.0,2,9,2019,,Y,,N,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3.1,,7,N, ,Y,3,90,
61012,AES Distributed Energy,63129,Allis Medina Solar LLC CSG,NY,Orleans,ALLIS,OP,PV,IPP Non-CHP,2,5.0,5.0,5,7,2020,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,7.3,,25,N, ,Y,7.3,31,
61012,AES Distributed Energy,63130,Beals Medina Solar LLC CSG,NY,Orleans,BEALS,OP,PV,IPP Non-CHP,2,3.5,3.5,3.5,5,2020,,N,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.2,,25,N, ,Y,5,31,
61012,AES Distributed Energy,63161,AES Tonawanda Solar LLC,NY,Erie,TNWDA,OP,PV,IPP Non-CHP,2,2.0,2.0,2,1,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.6,,25,N, ,N, ,0,
60531,Standard Solar,63224,NY 26 Carthage CSG,NY,Jefferson,X0140,OP,PV,IPP Non-CHP,2,5.0,5.0,5,3,2020,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,7.2,,0,N, ,Y,7.2,25,
62994,"Dynamic Energy Solutions, LLC",63230,Knaggs Brothers Farm,NY,Albany,KNAGG,OP,PV,Industrial Non-CHP,6,3.9,3.9,0.5,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.5,,25,Y,5.5,N, ,180,
58871,Citizens Enterprises Corporation,63279,Barneveld Solar,NY,Oneida,PV1,OP,PV,IPP Non-CHP,2,1.0,1.0,1,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,1.4,,20,N, ,Y,1.4,180,
63059,Diamond Properties,63291,Grand Prix Solar,NY,Westchester,GPS,OP,PV,Commercial Non-CHP,4,1.6,1.9,1.9,3,2014,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,1.9,,5,Y,1.6,N, ,205,
63059,Diamond Properties,63292,100 Brook Hill Drive Solar,NY,Rockland,BHD,OP,PV,Commercial Non-CHP,4,2.0,1.5,1.5,12,2015,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.5,,5,Y,2.5,N, ,173,
62994,"Dynamic Energy Solutions, LLC",63297,Hobart & William Smith College Gates Rd.,NY,Ontario,GATES,OP,PV,Commercial Non-CHP,4,1.9,1.8,0.2,12,2017,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.6,,25,Y,2.6,N, ,189,
63107,"Lansing Renewables, LLC",63337,"Lansing Renewables, LLC",NY,Tompkins,6004,OP,PV,IPP Non-CHP,2,5.0,5.0,4,11,2020,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.7,, ,N, ,N, ,180,
63109,"Hales Mills Solar, LLC",63339,"Hales Mills Solar, LLC",NY,Fulton,6609,OP,PV,IPP Non-CHP,2,5.0,3.6,2.9,10,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.7,,30,N, ,N, ,180,
63110,"Owlville Creek Solar 2, LLC",63340,"Owlville Creek Solar 2, LLC",NY,Madison,6609,OP,PV,IPP Non-CHP,2,5.0,5.0,4,12,2020,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.5,, ,N, ,N, ,180,
63111,"Owlville Creek Solar, LLC",63341,"Owlville Creek Solar, LLC",NY,Madison,6608,OP,PV,IPP Non-CHP,2,5.0,5.0,4,12,2020,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.7,, ,N, ,N, ,180,
62719,Green Street Power Partners,63369,Riley Road LLC,NY,Orange,RILE1,OP,PV,IPP Non-CHP,2,2.0,2.0,2,8,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.8,,20,N, ,N, ,180,
62719,Green Street Power Partners,63369,Riley Road LLC,NY,Orange,RILE2,OP,PV,IPP Non-CHP,2,2.0,2.0,2,8,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.8,,20,N, ,N, ,180,
62719,Green Street Power Partners,63371,Hope Solar Farm LLC,NY,Rensselaer,BRUNS,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.9,,25,N, ,N, ,180,
62719,Green Street Power Partners,63372,Catlin Solar 1 LLC,NY,Schuyler,CATLI,OP,PV,IPP Non-CHP,2,4.0,4.0,4,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.1,,25,N, ,N, ,180,
