Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?,Year,Technology,Turbines or Hydrokinetic Buoys,Multiple Fuels?
4226,Consolidated Edison Co-NY Inc,2503.0,59th Street,NY,New York,GT1,GT,,S,N,N,,,17.1,0.91,15.4,20.7,3,N, , ,OP,,6,1969, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4226,Consolidated Edison Co-NY Inc,2504.0,74th Street,NY,New York,GT1,GT,,S,N,N,,,18.5,0.85,10.2,17.9,8,N, , ,OP,,10,1968, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4226,Consolidated Edison Co-NY Inc,2504.0,74th Street,NY,New York,GT2,GT,,S,N,N,,,18.5,0.85,18.4,20.1,8,N, , ,OP,,10,1968, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4386,Cornell Hydro,10286.0,Cornell Hydro,NY,Tompkins,1,HY,,S,N,N,,,0.8,0.9,0.5,0.7,0.2,N, , ,OP,,12,1981, , ,N,Commercial Non-CHP,4,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4386,Cornell Hydro,10286.0,Cornell Hydro,NY,Tompkins,2,HY,,S,N,N,,,1.1,0.9,1.1,1.1,0.2,N, , ,SB,Y,12,1981, , ,N,Commercial Non-CHP,4,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4484,Covanta Babylon Inc,50649.0,Covanta Babylon Inc,NY,Suffolk,GEN1,ST,,S,N,N,23656,NYISO,17.0,1,14.4,14.4,1,N, , ,OP,,1,1989, , ,N,Commercial Non-CHP,4,,MSW,,,,,,DFO,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4487,Covanta Onondega LP,50662.0,Onondaga County Resource Recovery,NY,Onondaga,GEN1,ST,,S,N,N,NYISO - PTID 23987,NYISO - PTID 23987,39.5,0.9,30,30,3.5,N, , ,OP,,11,1994, , ,N,Commercial Non-CHP,4,,MSW,,,,,,NG,,,,N,N, ,OVER,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,2013,,,
4735,Dahowa Hydro,50280.0,Dahowa Hydro,NY,Washington,GEN1,HY,,S,N,N,,,10.5,1,1.5,4.4,1.2,N, , ,OP,,12,1987, , ,N,IPP Non-CHP,2,,WAT,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,N, , ,,,2013,,,
5511,CCI Roseton LLC,8006.0,Roseton Generating Facility,NY,Orange,1,ST,,W,N,N,23587,23587,621.0,0.9,639,638.5,140,N, , ,OP,,12,1974, , ,N,IPP Non-CHP,2,,NG,RFO,DFO,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,N, , ,Y,Y,2013,,,
5511,CCI Roseton LLC,8006.0,Roseton Generating Facility,NY,Orange,2,ST,,W,N,N,23588,23588,621.0,0.9,607.5,615,140,N, , ,OP,,9,1974, , ,N,IPP Non-CHP,2,,NG,RFO,DFO,,,,NG,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,N, , ,Y,Y,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,17TG,ST,,S,N,N,,,15.0,0.8,15,15,4,N, , ,OP,,12,1968, , ,Y,Industrial CHP,7,B,BIT,RFO,,,,,RFO,,,,N,Y, ,OVER,,,,Y,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,22TG,ST,,S,N,N,,,12.5,0.8,12.5,12.5,4,N, , ,OP,,8,1954, , ,Y,Industrial CHP,7,B,BIT,RFO,,,,,RFO,,,,N,Y, ,OVER,,,,Y,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,41TG,ST,,S,N,N,,,25.6,0.8,25.6,25.6,5,N, , ,OP,,5,1964, , ,Y,Industrial CHP,7,B,BIT,NG,RFO,,,,RFO,,,,N,Y, ,OVER,,,,Y,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,42TG,ST,,S,N,N,,,25.6,0.8,25.6,25.6,5,N, , ,OP,,8,1967, , ,Y,Industrial CHP,7,B,BIT,NG,RFO,,,,RFO,,,,N,Y, ,OVER,,,,Y,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,43TG,ST,,S,N,N,,,25.6,0.8,25.6,25.6,5,N, , ,OP,,4,1969, , ,Y,Industrial CHP,7,B,BIT,NG,RFO,,,,RFO,,,,N,Y, ,OVER,,,,Y,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,Monroe,44TG,ST,,S,N,N,,,25.6,0.8,25.6,25.6,5,N, , ,OP,,8,1987, , ,Y,Industrial CHP,7,B,BIT,DFO,,,,,RFO,,,,N,Y, ,OVER,,Y,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
