Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,Year,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
61012,AES Distributed Energy,63000,"RT 52 Walden Solar 1, LLC Hybrid",NY,Orange,BESS,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,1,2020,8.8,3.9,3.9,LIB,,,,0.9,CT,,,,,,,Y,,,,PR,2023,Y,,,,Y,63000,WALDN, ,, ,,N
15296,New York Power Authority,63238,Willis Battery Storage,NY,Franklin,WB1,OP,Batteries,BA,Electric Utility,1,20.0,20.0,20.0,7,2023,20,20,20,LIB,,,,19,CS,Y,,,PR,,,,,,,,2023,,,,Y,N, ,, ,, ,,N
63107,"Lansing Renewables, LLC",63337,"Lansing Renewables, LLC",NY,Tompkins,14320,OP,Batteries,BA,IPP Non-CHP,2,3.0,3.0,3.0,4,2022,3,3,3,LIB,,,,0,CT,,,,,,,,,,,PR,2023,,Y,,,Y,6004,, ,, ,,N
63110,"Owlville Creek Solar 2, LLC",63340,"Owlville Creek Solar 2, LLC",NY,Madison,20660,OP,Batteries,BA,IPP Non-CHP,2,3.0,3.0,3.0,7,2022,12.8,3,3,LIB,,,,0,CS,,,,,,,,,,,PR,2023,,Y,,,Y,63340,6609, ,, ,,N
63111,"Owlville Creek Solar, LLC",63341,"Owlville Creek Solar, LLC",NY,Madison,20660,OP,Batteries,BA,IPP Non-CHP,2,3.0,3.0,3.0,7,2022,12.8,3,3,LIB,,,,0,CS,,,,,,,,,,,PR,2023,,Y,,,Y,63341,20660, ,, ,,N
61012,AES Distributed Energy,63415,"Middletown Solar 1, LLC Hybrid CSG",NY,Orange,BATT,OP,Batteries,BA,IPP Non-CHP,2,1.6,1.6,1.6,12,2020,6.6,1.6,1.6,LIB,,,,0.9,CS,,,,,,,Y,,,,PR,2023,,,Y,,Y,63415,CENTR, ,, ,,N
14154,Orange & Rockland Utils Inc,63585,NY3 Battery,NY,Rockland,NY3,OP,Batteries,BA,Electric Utility,1,3.0,3.0,3.0,12,2020,12,3,3,LIB,,,,3,CS,Y,,,Y,,PR,Y,Y,,,,2023,,,,Y,N, ,, ,, ,,Y
59474,BQ Energy LLC,63774,Mount Kisco Landfill Solar & Storage CSG,NY,Westchester,KISCB,OP,Batteries,BA,IPP Non-CHP,2,0.7,0.5,0.5,12,2020,2.1,0.5,0.7,LIB,,,,0.5,CS,,PR,Y,,Y,,,,,,Y,2023,,,,,N, ,, ,, ,,N
63707,OYA Blanchard Road LLC,64084,Blanchard Road 1 Community Solar,NY,Jefferson,BR1S,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,12,2019,15,3.8,3.8,LIB,,,,3.8,CS,,,,,,,,,,,PR,2023,,,Y,,Y,64084,BR1CS, ,, ,,N
63708,OYA Blanchard Road 2 LLC,64087,Blanchard Road 2 Community Solar,NY,Jefferson,BR2S,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,12,2019,15,3.8,3.8,LIB,,,,3.8,CS,,,,,,,,,,,PR,2023,,,Y,,N,64087,BR2CS, ,, ,,N
63709,OYA NYS Rte 12 LLC,64090,NYS Rte 12 Community Solar,NY,Jefferson,NR12S,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,12,2019,15,3.8,3.8,LIB,,,,3.8,CS,,,,,,,,,,,PR,2023,,,Y,,Y,64090,NYR12, ,, ,,N
63711,OYA Great Lakes Seaway LLC,64092,Great Lakes Seaway Community Solar,NY,Jefferson,GLSS,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,12,2019,15,3.8,3.8,LIB,,,,3.8,CS,,,,,,,,,,,PR,2023,,,Y,,Y,64092,GLSCS, ,, ,,N
63873,Lincoln Medical and Mental Health Center,64291,Lincoln Medical and Mental Health Center,NY,Bronx,B1,OP,Batteries,BA,Commercial Non-CHP,4,1.0,1.0,1.0,6,1970,1,1,1,PBB,,,,0.8,BL,,,,,,,,,,PR,,2023,,,,Y,N, ,, ,, ,,N
63873,Lincoln Medical and Mental Health Center,64291,Lincoln Medical and Mental Health Center,NY,Bronx,B2,OP,Batteries,BA,Commercial Non-CHP,4,1.0,1.0,1.0,6,1970,1,1,1,PBB,,,,0.8,BL,,,,,,,,,,PR,,2023,,,,Y,N, ,, ,, ,,N
63873,Lincoln Medical and Mental Health Center,64291,Lincoln Medical and Mental Health Center,NY,Bronx,B3,OP,Batteries,BA,Commercial Non-CHP,4,1.0,1.0,1.0,1,1998,1,1,1,PBB,,,,0.8,BL,,,,,,,,,,PR,,2023,,,,Y,N, ,, ,, ,,N
63991,"DG New York CS, LLC",64374,Norwich Solar and Energy Storage CSG,NY,Chenango,NRWCB,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,9,2021,15,3,3,LIB,,,,2.6,CS,,,,,Y,,Y,,,,PR,2023,,,Y,,Y,64374,NRWCH, ,, ,,N
57365,Consolidated Edison Solutions Inc.,64442,Mt Pleasant Community Center,NY,Westchester,MPES,OP,Batteries,BA,IPP Non-CHP,2,0.7,0.7,0.7,11,2022,3,0.5,0.7,LIB,,,,0.5,CS,,,,,,,,,,,PR,2023,Y,,,,Y,64442,MPPV, ,, ,,N
63991,"DG New York CS, LLC",64453,Volney II,NY,Oswego,VOLES,OP,Batteries,BA,IPP Non-CHP,2,3.0,3.0,3.0,2,2021,12,3,3,LIB,,,,2.6,CS,,,,,Y,,Y,,,,PR,2023,,,Y,,Y,64453,VOLNE, ,, ,,N
49893,Invenergy Services LLC,64686,Orangeville Storage,NY,Wyoming,65002,OP,Batteries,BA,IPP Non-CHP,2,24.7,20.0,20.0,10,2022,20,20,20,LIB,,,,6.8,OT,,Y,,,,,,,PR,,,2023,,Y,,,Y, ,, ,, ,,Y
61012,AES Distributed Energy,64719,Glenmere Lake,NY,Orange,BESS,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,6,2021,7.5,2,2,LIB,,,,0.9,CT,,,,,,,Y,,,,PR,2023,,,Y,,Y,64719,GLNMR, ,, ,,N
4226,Consolidated Edison Co-NY Inc,65035,Fox Hills Battery Station,NY,Richmond,ESSFH,OP,Batteries,BA,Electric Utility,1,7.5,7.5,7.5,9,2023,30,7.5,7.5,LIB,,,,7.5,CS,Y,,,Y,,,PR,,Y,,,2023,,,,Y,N, ,, ,, ,,Y
61012,AES Distributed Energy,65217,South Goshen Community Solar,NY,Orange,BESS,OP,Batteries,BA,IPP Non-CHP,2,4.5,4.5,4.5,9,2021,17,4.5,4.5,LIB,,,,5,OT,,,,,,,Y,,,,PR,2023,,,Y,,Y,65217,SGOSH, ,, ,,N
63289,Key Capture Energy,65692,NY6 Battery,NY,Erie,NY6,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,5,2023,42,20,20,LIB,,,,20,CS,,PR,,,,,,,Y,,,2023,,,,Y,N, ,, ,, ,,N
65056,NY - Mines Press,65815,NY - Mines Press,NY,Westchester,MPBS,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,6,2022,2.1,0.6,0.6,LIB,,,,1,CS,Y,,Y,,Y,Y,Y,,,,PR,2023,,Y,,,Y,65815,MPRES, ,, ,,N
61194,Generate Capital,66218,Dubois Solar (Hybrid),NY,Ulster,BAT,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,12,2020,4.4,2,2,LIB,,,,3.4,CS,,,,,,,PR,,,,Y,2023,,Y,,,Y,66218,10892, ,, ,,Y
61194,Generate Capital,66222,Landau II Solar (Hybrid),NY,Ulster,BAT,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,12,2021,8.8,4,4,LIB,,,,1.3,CS,,,,,,,PR,,,,Y,2023,,Y,,,Y,66222,61194, ,, ,,N
61194,Generate Capital,66228,Salt Point Solar (Hybrid),NY,Dutchess,BAT,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,1,2021,4.4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,2023,,Y,,,N, ,, ,, ,,N
61194,Generate Capital,66232,Svenski Solar (Hybrid),NY,Orange,BAT,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2022,4.4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,2023,,,,,N, ,, ,, ,,N
61194,Generate Capital,66488,Davis Solar,NY,Orange,BAT,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,10,2023,4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,2023,,,,,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,66501,Cicero Energy Storage 1 LLC,NY,Onondaga,CCBA1,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,3,2022,20,5,5,LIB,,,,5,CS,,,,,PR,Y,Y,,,,Y,2023,,Y,,,Y,66501,CCPV1, ,, ,,N
61978,Convergent Energy and Power LP,66503,Cicero Energy Storage 2 LLC,NY,Onondaga,CCBA2,OP,Batteries,BA,IPP Non-CHP,2,5.0,5.0,5.0,3,2022,20,5,5,LIB,,,,5,CS,,,,,PR,Y,Y,,,,Y,2023,,Y,,,Y,66503,CCPV2, ,, ,,N
64872,"Distributed Solar Development, LLC",66764,SCH - (2A) 156 Barhydt Rd Glenville,NY,Schenectady,3954B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,7,2021,10,2.5,2.5,LIB,,,, ,CS,,,,,Y,,,,,,PR,2023,,Y,,,Y,66764,3954, ,, ,,Y
64872,"Distributed Solar Development, LLC",66765,SCH County - (2B) 4982 Rynex Corners Rd,NY,Schenectady,3595B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,12,2020,10,2.5,2.5,LIB,,,,10,CS,,,,,,,Y,PR,,,Y,2023,,Y,,,Y,66765,3595, ,, ,,N
64872,"Distributed Solar Development, LLC",66767,Source Power Company - Richland,NY,Oswego,4725B,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,11,2021,9.5,2.5,2.5,LIB,,,,9.5,CS,,,,,,,Y,PR,,,Y,2023,,Y,,,Y,66767,4725, ,, ,,N
65861,"Enel X North America, Inc",66967,Gateway BESS,NY,Kings,S049,OP,Batteries,BA,IPP Non-CHP,2,4.8,4.8,4.8,5,2019,16.4,1.6,4,LIB,,,,4,CS,,,,,,Y,PR,,,,,2023,,,,Y,N, ,, ,, ,,N
64872,"Distributed Solar Development, LLC",67275,White Plains_RFP-Gedney Way Landfill,NY,Westchester,4072B,OP,Batteries,BA,IPP Non-CHP,2,1.3,1.3,1.3,4,2022,5.1,1.3,1.3,LIB,,,,0.8,CS,,PR,,,Y,,,,,,Y,2023,Y,,,,Y,67275,4072C, ,4072G, ,,N
