Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name,Year,Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
3249,Central Hudson Gas & Elec Corp,2485,South Cairo,Route 32,Cairo,NY,12413,Greene,42.291275,-73.986452,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2021,N,,,,,,X,X
3249,Central Hudson Gas & Elec Corp,2486,Sturgeon,Coutant Road,Tillson,NY,12486,Ulster,41.848191,-74.046678,NPCC,NYIS,New York Independent System Operator,Walkill River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2021,N,,,,,,X,X
3249,Central Hudson Gas & Elec Corp,2487,West Coxsackie,Baily Street,Coxsackie,NY,12051,Greene,42.350889,-73.815798,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2021,N,CENTRAL HUDSON GAS ELECTRIC,TENNESSEE GAS PIPELINE COMPANY,,,,N,X
13192,NRG Arthur Kill Operations Inc,2490,Arthur Kill Generating Station,4401 Victory Blvd,Staten Island,NY,10314,Richmond,40.591564,-74.200035,NPCC,NYIS,New York Independent System Operator,Arthur Kill,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-165-000,N,X,,Consolidated Edison Co-NY Inc,4226,NY,138,345, ,,2021,N,CONSOLIDATED EDISON NEW YORK INC,,,,,N,N
15296,New York Power Authority,2491,Charles Poletti,31-03 20th Ave,Astoria,NY,11105,Queens,40.776389,-73.910833,NPCC,NYIS,New York Independent System Operator,East River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Consolidated Edison Co-NY Inc,4226,NY,345, , ,,2021,N,,,,,,Y,N
4226,Consolidated Edison Co-NY Inc,2493,East River,801 East 14th Street,New York,NY,10009,New York,40.7281,-73.9742,NPCC,NYIS,New York Independent System Operator,East River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Consolidated Edison Co-NY Inc,4226,NY,69, , ,,2021,N,,TRANSCONTINENTAL GAS PIPELINE,,,,N,
54863,U S Power Generating Company LLC,2494,Gowanus Gas Turbines Generating,420 2nd Avenue,Brooklyn,NY,11232,Kings,40.6635,-74.0051,NPCC,NYIS,New York Independent System Operator,Municipality,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-206,N,X,,Consolidated Edison Co-NY Inc,4226,NY,138, , ,,2021,N,KEYSPAN ENERGY DBA NATIOAL GRID NY,,,,,N,X
4226,Consolidated Edison Co-NY Inc,2496,Hudson Avenue,1-11 Hudson Avenue,New York,NY,11201,Kings,40.7052,-73.9807,NPCC,NYIS,New York Independent System Operator,East River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Consolidated Edison Co-NY Inc,4226,NY,138, , ,,2021,N,,,,,,N,
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,4 Whale Square,Brooklyn,NY,11232,Kings,40.648611,-74.020833,NPCC,NYIS,New York Independent System Operator,Municipality,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-206,,X,,Consolidated Edison Co-NY Inc,4226,NY,138, , ,,2021,N,KEYSPAN ENERGY DBA NATIOAL GRID NY,,,,,N,X
61130,"Helix Ravenswood, LLC",2500,Ravenswood,38-54 Vernon Blvd,Long Island,NY,11101,Queens,40.759167,-73.946111,NPCC,NYIS,New York Independent System Operator,East River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-166-000,N,X,,Consolidated Edison Co-NY Inc,4226,NY,348, , ,,2021,Y,CONSOLIDATED EDISON NEW YORK INC,,,,,N,X
4226,Consolidated Edison Co-NY Inc,2502,Waterside,700 First Avenue,New York,NY,10017,New York,40.753333,-73.975833,NPCC,NYIS,New York Independent System Operator,East River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Consolidated Edison Co-NY Inc,4226,NY, , , ,,2021,,,,,,,,
4226,Consolidated Edison Co-NY Inc,2503,59th Street,850 12th Avenue,New York,NY,10019,New York,40.771285,-73.99115,NPCC,NYIS,New York Independent System Operator,Hudson River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Consolidated Edison Co-NY Inc,4226,NY,13.8, , ,,2021,N,,TRANSCONTINENTAL GAS PIPELINE,,,,N,
4226,Consolidated Edison Co-NY Inc,2504,74th Street,506 E 75th Street,New York,NY,10021,New York,40.768,-73.9515,NPCC,NYIS,New York Independent System Operator,East River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Consolidated Edison Co-NY Inc,4226,NY,13.8, , ,,2021,N,,,,,,N,
56505,National Grid Generation LLC,2511,E F Barrett,McCarthy Road,Island Park,NY,11558,Nassau,40.616689,-73.647881,NPCC,NYIS,New York Independent System Operator,Barnum Island Channel,22,RE,1,Electric Utility,,N,,N,,N,,Y,Y,OP,Long Island Power Authority,11171,NY,138, , ,,2021,N,Other - See pipeline notes.,TRANSCONTINENTAL GAS PIPELINE,,,KEDLI,N,X
56505,National Grid Generation LLC,2512,East Hampton,Cove Hollow Road,East Hampton,NY,11937,Suffolk,40.961706,-72.210277,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2513,Far Rockaway,Bay 24th Street,Far Rockaway,NY,11691,Queens,40.61089,-73.761,NPCC,NYIS,New York Independent System Operator,Mott Basin,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,X,X
56505,National Grid Generation LLC,2514,Glenwood,200 Shore Road,Glenwood Landing,NY,11547,Nassau,40.827149,-73.647473,NPCC,NYIS,New York Independent System Operator,Hempstead Harbor,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2515,Montauk,Industrial Road,Montour,NY,11954,Suffolk,41.0425,-71.957778,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,4, , ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2516,Northport,Eaton's Neck Road,Northport,NY,11768,Suffolk,40.923565,-73.342323,NPCC,NYIS,New York Independent System Operator,Long Island Sound,22,RE,1,Electric Utility,,N,,N,,N,,Y,Y,OP,Long Island Power Authority,11171,NY,138, , ,,2021,N,Other - See pipeline notes.,IROQUOIS GAS TRANSMISSION SYS LP,,,KEDLI,N,X
56505,National Grid Generation LLC,2517,Port Jefferson,Beach Street,Port Jefferson,NY,11776,Suffolk,40.949696,-73.078507,NPCC,NYIS,New York Independent System Operator,Long Island Sound,22,RE,1,Electric Utility,,N,,N,,Y,02-22-000,Y,Y,OP,Long Island Power Authority,11171,NY,138, , ,,2021,N,Other - See pipeline notes.,IROQUOIS GAS TRANSMISSION SYS LP,,,KEDLI,N,X
56505,National Grid Generation LLC,2518,Shoreham,1 LILCO Road,Wading River,NY,11972,Suffolk,40.96159,-72.864976,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,138,69, ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2519,South Hampton,David Whites Lane,Southampton,NY,11968,Suffolk,40.899997,-72.381977,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2520,Southold,Main Road,Greenport,NY,11944,Suffolk,41.1059,-72.3761,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,,
56505,National Grid Generation LLC,2521,West Babylon,11 Bahama Street,West Babylon,NY,11704,Suffolk,40.695485,-73.348573,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Long Island Power Authority,11171,NY,69, , ,,2021,N,,,,,,,
13511,New York State Elec & Gas Corp,2522,Cadyville,59 Goddeau Rd,Town ofSchuyler Falls,NY,12962,Clinton,44.695,-73.6219,NPCC,NYIS,New York Independent System Operator,Saranac River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,New York State Elec & Gas Corp,13511,NY,11, , ,,2021,N,,,,,,N,X
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,590 Plant Road,Dresden,NY,14441,Yates,42.6789,-76.9483,NPCC,NYIS,New York Independent System Operator,Seneca Lake,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-1773-000,Y,N,OS,New York State Elec & Gas Corp,13511,NY,115, , ,,2021,N,NEW YORK STATE ELEC AND GAS CORP,Other - Please explain in pipeline notes below.,,,Greenidge Pipeline LLC - Not in system,N,N
13511,New York State Elec & Gas Corp,2528,Harris Lake,5930 Rt 28 N,Town of Newcomb,NY,12847,Essex,43.9719,-74.1861,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,New York State Elec & Gas Corp,13511,NY,2.4, , ,,2021,N,,,,,,N,X
13511,New York State Elec & Gas Corp,2530,High Falls - Saranac NY,202 Soper Rd,Town of Saranac,NY,12981,Clinton,44.6389,-73.7492,NPCC,NYIS,New York Independent System Operator,Saranac River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,New York State Elec & Gas Corp,13511,NY,6.9, , ,,2021,N,,,,,,N,X
13511,New York State Elec & Gas Corp,2532,Kent Falls,376 Kent Falls Rd,Town of SchuylerFalls,NY,12962,Clinton,44.7053,-73.5967,NPCC,NYIS,New York Independent System Operator,Saranac River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,New York State Elec & Gas Corp,13511,NY,6.6, , ,,2021,N,,,,,,N,X
13511,New York State Elec & Gas Corp,2533,Keuka,East Lake Rd,Town of Wayne,NY,14893,Steuben,42.494167,-77.119444,NPCC,NYIS,New York Independent System Operator,Waneta -Lamoka Lakes,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,New York State Elec & Gas Corp,13511,NY, , , ,,2021,N,,,,,,N,X
14294,PSEG Power New York Inc,2539,Bethlehem Energy Center,Route 144 River Road,Glenmont,NY,12077,Albany,42.594196,-73.763752,NPCC,NYIS,New York Independent System Operator,Hudson River,22,NR,2,IPP Non-CHP,,N,,N,,Y,00-141-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,DOMINION TRANSMISSION INCORPORATED,TENNESSEE GAS PIPELINE COMPANY,,,N,
5914,Erie Boulevard Hydropower LP,2540,Allens Falls,121 Covey Road,Parishville,NY,13672,St Lawrence,44.660338,-74.860265,NPCC,NYIS,New York Independent System Operator,St Regis River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,,,,,N,N
5914,Erie Boulevard Hydropower LP,2543,Beardslee,00 Saltsman Road,Little Falls,NY,13365,Herkimer,43.019113,-74.741349,NPCC,NYIS,New York Independent System Operator,East Canada Creek,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,,,,,N,N
5914,Erie Boulevard Hydropower LP,2544,Belfort,9533 Belfort Road,Croghan,NY,13327,Lewis,43.9275,-75.3331,NPCC,NYIS,New York Independent System Operator,Beaver River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,23, , ,,2021,N,,,,,,N,N
5914,Erie Boulevard Hydropower LP,2545,Bennetts Bridge,2628 County Road 22,Altmar,NY,13302,Oswego,43.5317,-75.9531,NPCC,NYIS,New York Independent System Operator,Salmon River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,,,,,N,N
5914,Erie Boulevard Hydropower LP,2546,Black River,27852 NYS 3,Black River,NY,13612,Jefferson,44.000122,-75.813151,NPCC,NYIS,New York Independent System Operator,Black River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,23, , ,,2021,N,,,,,,N,N
5914,Erie Boulevard Hydropower LP,2547,Blake,362 Blake Falls Dam Road,Parishville,NY,13672,St Lawrence,44.506474,-74.753442,NPCC,NYIS,New York Independent System Operator,Raquette River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-156-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,,,,,N,N
