Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Year,Steam Plant Type
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,13,RE,N,,, , ,ST, , ,DP,YR,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.26,PB,OH,1995,, ,,,,,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,14,RE,N,,, , ,ST, , ,DP,YR,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.26,PB,OH,1995,, ,,,,,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,15,RE,N,,, , ,ST, , ,DP,YR,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.26,PB,OH,1972,, ,,,,,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,41,SB,N,N,, , ,FD, , ,DP,YR,1988,SS,,,SS,,,FD, ,NP,DA,1995,FU,LA,,FU,LA,,ST,0.26,PB,OH,1972,ST,1972,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,42,OP,N,N,, , ,FD, , ,DP,YR,1988,SS,,,SS,,,ST, ,NP,DA,1995,FU,LA,,FU,LA,,ST,0.26,PB,OH,1972,ST,1972,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,43,OP,N,N,, , ,FD, , ,DP,YR,1988,SS,,,SS,,,ST, ,NP,DA,1995,FU,LA,,FU,LA,,ST,0.24,PB,OH,1972,ST,1972,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,44,OP,Da,N,, , ,FD, , ,DP,NV,1987,NC,,,NC,,,ST, ,NP,DA,1995,FU,LA,,FU,LA,,FD,0.1,PB,NV,1987,ST,1987,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,PB1,OP,N,N,, , ,FD, , ,DP,YR,1988,NC,,,NC,,,ST, ,NP,DA,1995,LA,,,LA,,,ST,0.2,PB,OH,1972,FD,1995,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,PB2,OP,N,N,, , ,FD, , ,DP,YR,1988,NC,,,NC,,,ST, ,NP,DA,1995,LA,,,LA,,,ST,0.2,PB,OH,1972,FD,1995,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,PB3,OP,N,N,, , ,FD, , ,DP,YR,1988,NC,,,NC,,,ST, ,NP,DA,1995,LA,,,LA,,,ST,0.2,PB,OH,1972,FD,1995,EW,,,EW,,,2013,
5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,PB4,OP,N,N,, , ,FD, , ,DP,YR,1988,NC,,,NC,,,ST, ,NP,DA,1995,LA,,,LA,,,ST,0.2,PB,OH,1972,FD,1995,EW,,,EW,,,2013,
5943,Entergy Nuc Fitzpatrick LLC,6110.0,James A Fitzpatrick,NY,NSS1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
6027,Entergy Nuclear Indian Point 2,2497.0,Indian Point 2,NY,NSS2,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
6028,Entergy Nuclear Indian Point 3,8907.0,Indian Point 3,NY,NSS3,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
6838,CCI Rensselaer LLC,54034.0,Rensselaer Cogen,NY,HRSG,OP,Db,N,, , ,ST,0.05, ,SU,DT,1994,NC,SS,,,,,ST,9,NM,OH,1994,NC,SR,STM,NC,SR,STM,, ,,, ,ST,1994,,,,,,,2013,
9097,Huntington Resource Recovery,50656.0,Huntington Resource Recovery Facility,NY,UNIT1,OP,N,,, , ,, , ,,, ,,,,,,,ST,185,NM,TH,1991,SN,,,SN,,,, ,,, ,ST,1991,ACI,,,ACI,,,2013,
