Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?,Year,Technology,Multiple Fuels?,Operating Month,Operating Year
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT18,OP,GT,IPP Non-CHP,2,22.0,19.9,26,NG,DFO,Y,NG,DFO,,,,,Y,Y,17.5,23.2,17.5,23.2,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,5.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT21,OP,GT,IPP Non-CHP,2,22.0,19.4,25.3,NG,DFO,Y,NG,DFO,,,,,Y,Y,19.2,24.8,19.2,24.8,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT22,OP,GT,IPP Non-CHP,2,22.0,18.7,24.4,NG,DFO,Y,NG,DFO,,,,,Y,Y,16.4,22.9,16.4,22.9,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT23,OP,GT,IPP Non-CHP,2,22.0,18.4,24,NG,DFO,Y,NG,DFO,,,,,Y,Y,17.5,23.8,17.5,23.8,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT24,OP,GT,IPP Non-CHP,2,22.0,18.4,24,NG,DFO,Y,NG,DFO,,,,,Y,Y,17.9,24.2,17.9,24.2,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT25,OP,GT,IPP Non-CHP,2,22.0,19.9,26,NG,DFO,Y,NG,DFO,,,,,Y,Y,18.1,24.4,18.1,24.4,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT26,OP,GT,IPP Non-CHP,2,22.0,18.1,23.6,NG,DFO,Y,NG,DFO,,,,,Y,Y,16.3,21.9,16.3,21.9,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT27,OP,GT,IPP Non-CHP,2,22.0,20.7,27,NG,DFO,Y,NG,DFO,,,,,Y,Y,18.5,24.9,18.5,24.9,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
54863,U S Power Generating Company LLC,2499,Narrows Gas Turbines Generating,NY,Kings,NT28,OP,GT,IPP Non-CHP,2,22.0,17.5,22.9,NG,DFO,Y,NG,DFO,,,,,Y,Y,16.3,21.9,16.3,21.9,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1972.0
61130,Ravenswood Operations LLC,2500,Ravenswood,NY,Queens,1,OP,ST,IPP Non-CHP,2,400.0,363.75,364.5,NG,DFO,Y,NG,DFO,,,,,Y,Y,368.5,375.8,368.5,375.8,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,2.0,1963.0
61130,Ravenswood Operations LLC,2500,Ravenswood,NY,Queens,2,OP,ST,IPP Non-CHP,2,400.0,375.3,377.5,NG,DFO,Y,NG,DFO,,,,,Y,Y,374.5,374.4,374.5,374.4,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,5.0,1963.0
61130,Ravenswood Operations LLC,2500,Ravenswood,NY,Queens,3,OP,ST,IPP Non-CHP,2,1027.0,987.3,972.8,NG,DFO,Y,NG,DFO,,,,,Y,Y,987.3,968.3,987.3,968.3,6H,6H,Y,Y,Y,,2024,Natural Gas Steam Turbine,Y,6.0,1965.0
61130,Ravenswood Operations LLC,2500,Ravenswood,NY,Queens,4,OP,CT,IPP Non-CHP,2,181.0,154.1,185.4,NG,DFO,N,,,,,,,Y,Y,150.4,185.8,150.4,185.8,6H,6H,Y,Y,Y,,2024,Natural Gas Fired Combined Cycle,Y,12.0,2003.0
61130,Ravenswood Operations LLC,2500,Ravenswood,NY,Queens,4S,OP,CA,IPP Non-CHP,2,87.5,74.5,89.7,NG,DFO,N,,,,,,,Y,Y,72.8,89.8,72.8,89.8,6H,6H,Y,Y,Y,,2024,Natural Gas Fired Combined Cycle,Y,12.0,2003.0
4226,Consolidated Edison Co-NY Inc,2503,59th Street,NY,New York,GT1,OP,GT,Electric Utility,1,17.1,14.5,16.5,NG,KER,N,,,,,,,Y,N,14.5,16.5,14.5,16.5,UNK,UNK,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1969.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,10,OP,GT,Electric Utility,1,41.8,40.6,50,NG,DFO,N,,,,,,,Y,Y,40.6,50,40.6,50,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1971.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,11,OP,GT,Electric Utility,1,41.8,40.1,50.5,NG,DFO,N,,,,,,,Y,Y,40.1,50.5,40.1,50.5,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1971.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,12,OP,GT,Electric Utility,1,41.8,40.9,48.7,NG,DFO,N,,,,,,,Y,Y,40.9,48.7,40.9,48.7,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1971.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,3,OP,GT,Electric Utility,1,18.0,17.7,20.2,NG,DFO,N,,,,,,,Y,Y,17.7,20.2,17.7,20.2,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,4,OP,GT,Electric Utility,1,18.0,16.8,20.5,NG,DFO,N,,,,,,,Y,Y,16.8,20.5,16.8,20.5,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,5,OP,GT,Electric Utility,1,18.0,17.6,20.1,NG,DFO,N,,,,,,,Y,Y,17.6,20.1,17.6,20.1,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,6,OP,GT,Electric Utility,1,18.0,16.4,19.9,NG,DFO,N,,,,,,,Y,Y,16.4,19.9,16.4,19.9,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,8,OP,GT,Electric Utility,1,18.0,15.1,15.2,NG,DFO,N,,,,,,,Y,Y,15.1,15.2,15.1,15.2,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1970.0
56505,National Grid Generation LLC,2511,E F Barrett,NY,Nassau,9,OP,GT,Electric Utility,1,41.8,41.2,49.2,NG,DFO,N,,,,,,,Y,Y,41.2,49.2,41.2,49.2,1H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,1971.0
