Utility ID,Utility Name,Street Address,City,State,Zip,Owner?,Operator?,Asset Manager?,Other Reltionships with Plants Reported on Form?,Entity Type,Year,Other Relationships with Plants Reported on Form?,Owner of Plants Reported on Form?,Operator of Plants Reported on Form?,Asset Manager of Plants Reported on Form?
63873,Lincoln Medical and Mental Health Center,234 East 149th Street,Bronx,NY,10451,,,,,COM,2023,,,Y,
64093,White Plains Hospital Medical Center,41 East Post Rd,White Plains,NY,10601,,,,,COM,2023,,,Y,
64217,Bald Mountain Solar LLC,39 Hudson Falls Road,South Glens Falls,NY,12803,,,,,Q,2023,,Y,Y,
64218,Greens Corners Solar,39 Hudson Falls Road,South Glens Falls,NY,12803,,,,,Q,2023,,Y,Y,
64249,"Big River Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
64287,Terra-Gen Operating Co-BESS,"437 Madison Ave, Fl 22",New York,NY,10022,,,,,Q,2023,,,Y,Y
64306,"Elektron Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,Y,Y
64307,"Castle Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,Y,Y
64309,Annadale Community Clean Energy Projects LLC,675 3rd avenue,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
64310,Bronx Community Clean Energy Project LLC,675 3rd Avenue,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
64354,"Wilkes Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
64356,"Bedington Energy Facility, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
64366,Terra-Gen Operating Co-Hybrid,437 Madison Ave,New York,NY,10022,,,,,Q,2023,,Y,Y,Y
64387,Sandy Creek Solar LLC,39 Hudson Falls Road,South Glens Falls,NY,12803,,,,,Q,2023,,Y,Y,
64403,"CED Crane Solar, LLC",4488 Onondaga Blvd,Syracuse,NY,13219,,,,,Q,2023,,,,Y
64440,"ESIL-AL-Melrose, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
64541,CES Agawam Tuckahoe Solar LLC,675 3rd Avenue     ,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
64559,"Hunter Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,Y
64569,West Texas Solar Project II LLC,745 Fifth Ave,New York,NY,10151,,,,,Q,2023,,Y,,Y
64602,DOCCS Midstate,9005 Old River Road,Marcy,NY,13403,,,,,Q,2023,,Y,,
64603,DOCCS Eastern,10 Institution Road,Wawarsing,NY,12458,,,,,Q,2023,,Y,,
64604,DOCCS Wende,Creekview Dr.,Alden,NY,14004,,,,,Q,2023,,Y,,
64605,DOCCS Greenhaven,594 NY-216,Stormville,NY,12582,,,,,Q,2023,,Y,,
64657,"Vacherie Solar Energy Center, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,Y
64696,"Luminace Solar Chicago, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2023,,Y,,
64701,Oswego Harbor Power,261 Washington Blvd.,Oswego,NY,13126,,,,,Q,2023,,,Y,
64728,Enernet Global,3 East 80th Street New York,New York,NY,10075,,,,,Q,2023,,Y,,
64729,"Midway Green Solar, LLC",250 West 57th St,New York,NY,10107,,,,,Q,2023,,Y,,
64745,"KP Vacaville Solar, LLC","588 Broadway, Suite 1208",New York,NY,10012,,,,,COM,2023,,,,Y
64746,"KP Sacramento Point West Medical Offices Solar, LLC","588 Broadway, Suite 1208",New York,NY,10012,,,,,COM,2023,,,,Y
64747,"KP Rancho Cordova Medical Offices Solar, LLC","588 Broadway, Suite 1208",New York,NY,10012,,,,,COM,2023,,,,Y
64802,"Longbow Acquisition HoldCo, LLC",745 5th Ave 25th Floor,New York,NY,80205,,,,,Q,2023,Y,Y,,
64872,"Distributed Solar Development, LLC",200 Harborside Dr,Schenectady,NY,12305,,,,,Q,2023,,Y,Y,Y
64918,"EF NY CDG 011, LLC","1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,Y,,Y
64919,"EF NY CDG 003, LLC","1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,Y,,Y
64920,"EF NY CDG 001, LLC","1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,Y,,Y
64921,"EF NY CDG 002, LLC","1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,Y,,Y
64922,"EF NY CDG 007, LLC","1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,Y,,Y
64925,"MA CS Dighton, LLC","228 Park Ave S, PMB 2335",New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65056,NY - Mines Press,231 Croton Avenue,Cortlandt,NY,10567,,,,,Q,2023,,Y,,
65071,"SloughHouse Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65072,"Sacramento Valley Energy Center, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65114,"Rocking R Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65164,CleanCapital Holdings,"370 Lexington Avenue, #2100",New York,NY,10017,,,,,Q,2023,,Y,Y,Y
65188,Ballantyne LLC,200 Harborside Drive #200,Schenectady,NY,12305,,,,,Q,2023,,,,Y
65189,Cascade Solar LLC,200 Harborside Drive #200,Schenectady,NY,12305,,,,,Q,2023,,,,Y
65190,Cannon River LLC,200 Harborside Drive #200,Schenectady,NY,12305,,,,,Q,2023,,,,Y
65221,Brazoria County Solar Project,"1 Bridge Street, Suite 11",Irvington,NY,10533,,,,,Q,2023,,,,Y
65269,"Blue Elk IV Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65270,"Blue Elk I Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65271,"Blue Elk II Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65272,"Blue Elk III Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65273,"Blue Elk VII Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65274,"Midcontinent Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65275,"Greenstone Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65293,"Bartonsville Energy Facility, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65338,BiOrigin Specialty Products,4921 Route 58N,Gouvener,NY,13642,,,,,IND,2023,,Y,Y,Y
65366,"Speedway Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65380,"Steel Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65381,"Gravel Pit Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
