Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3
195,Alabama Power Co,26,E C Gaston,AL,2,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,26,E C Gaston,AL,3,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,26,E C Gaston,AL,4,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,26,E C Gaston,AL,5,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,IF,WA,,IF,WA,,FD, ,NP,OT,1996,LN,SR,,NC,,,ST,0.12,PB,PS,1975,,2016,,,,BP,JB,ACI
195,Alabama Power Co,6001,Joseph M Farley,AL,NSS1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
195,Alabama Power Co,6001,Joseph M Farley,AL,NSS2,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
195,Alabama Power Co,6002,James H Miller Jr,AL,1,OP,D,N,, , ,LO,1.2, ,DP,TH,1978,IF,WA,,IF,WA,,LO,0.7,NP,OT,2000,LN,SR,,LN,SR,,LO,0.1,PB,PS,1978,,2015,,,,SP,,
195,Alabama Power Co,6002,James H Miller Jr,AL,2,OP,D,N,, , ,LO,1.2, ,DP,TH,1985,WA,IF,,WA,IF,,LO,0.7,NP,OT,2000,LN,SR,,LN,SR,,LO,0.1,PB,PS,1985,,2015,,,,SP,,
195,Alabama Power Co,6002,James H Miller Jr,AL,3,OP,D,N,, , ,LO,1.2,1,DP,TH,1989,IF,WA,,IF,WA,,LO,0.1,NP,MO,2008,LN,SR,,LN,SR,,LO,0.03,PB,PS,2007,,2015,,,,SP,,
195,Alabama Power Co,6002,James H Miller Jr,AL,4,OP,D,N,, , ,LO,1.2,1,DP,TH,1991,IF,WA,,IF,WA,,LO,0.1,NP,MO,2008,LN,SR,,LN,SR,,LO,0.03,PB,PS,2007,,2015,,,,SP,,
195,Alabama Power Co,7697,Washington County Cogeneration Facility,AL,1,OP,Dc,Y,108-0018,3,2011,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
195,Alabama Power Co,7698,General Electric Plastic,AL,HRSG1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
