Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,U2,U2
733,Appalachian Power Co,3775,Clinch River,1,1
733,Appalachian Power Co,3775,Clinch River,2,2
733,Appalachian Power Co,3775,Clinch River,3,3
733,Appalachian Power Co,3776,Glen Lyn,51,5
733,Appalachian Power Co,3776,Glen Lyn,52,5
733,Appalachian Power Co,3776,Glen Lyn,6,6
733,Appalachian Power Co,3935,John E Amos,1,1
733,Appalachian Power Co,3935,John E Amos,2,2
733,Appalachian Power Co,3935,John E Amos,3,3
733,Appalachian Power Co,3936,Kanawha River,1,1
733,Appalachian Power Co,3936,Kanawha River,2,2
733,Appalachian Power Co,3938,Philip Sporn,11,1
733,Appalachian Power Co,3938,Philip Sporn,21,2
733,Appalachian Power Co,3938,Philip Sporn,31,3
733,Appalachian Power Co,3938,Philip Sporn,41,4
733,Appalachian Power Co,3938,Philip Sporn,51,5
733,Appalachian Power Co,6264,Mountaineer,1,1
733,Appalachian Power Co,55350,Dresden Energy Facility,1,3
733,Appalachian Power Co,55350,Dresden Energy Facility,2,3
745,Applied Energy Inc,10811,Naval Station Energy Facility,HRSG1,GEN2
745,Applied Energy Inc,10811,Naval Station Energy Facility,HRSG1,GEN3
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB2,1A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB1,1A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB3,1A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB3,2A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB1,2A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB2,2A
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B3,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B7,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B4,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B9,GEN1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,B10,GEN1
