Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID,Steam Plant Type
20169,Avista Corp,550.0,Kettle Falls Generating Station,1,1,2.0
12490,Middletown Power LLC,562.0,Middletown,1,1,1.0
12490,Middletown Power LLC,562.0,Middletown,2,2,1.0
12490,Middletown Power LLC,562.0,Middletown,3,3,1.0
12490,Middletown Power LLC,562.0,Middletown,4,4,1.0
14610,Orlando Utilities Comm,564.0,Stanton Energy Center,1,1,1.0
14610,Orlando Utilities Comm,564.0,Stanton Energy Center,2,2,1.0
14610,Orlando Utilities Comm,564.0,Stanton Energy Center,B,B,1.0
5221,Dominion Energy Nuclear Conn Inc,566.0,Millstone,NSS2,2,3.0
5221,Dominion Energy Nuclear Conn Inc,566.0,Millstone,NSS3,3,3.0
65448,"Generation Bridge II Connecticut, LLC",568.0,Bridgeport Station,BHB2,2,1.0
65448,"Generation Bridge II Connecticut, LLC",568.0,Bridgeport Station,BHB3,3,1.0
65448,"Generation Bridge II Connecticut, LLC",568.0,Bridgeport Station,BH501,502,1.0
2548,City of Burlington Electric - (VT),589.0,J C McNeil,1,1,2.0
56609,Calpine Mid-Atlantic Generation LLC,593.0,Edge Moor,3,3,1.0
56609,Calpine Mid-Atlantic Generation LLC,593.0,Edge Moor,4,4,1.0
56609,Calpine Mid-Atlantic Generation LLC,593.0,Edge Moor,5,5,1.0
9332,Indian River Operations Inc,594.0,Indian River Generating Station,1,1,1.0
9332,Indian River Operations Inc,594.0,Indian River Generating Station,2,2,1.0
9332,Indian River Operations Inc,594.0,Indian River Generating Station,3,3,1.0
9332,Indian River Operations Inc,594.0,Indian River Generating Station,4,4,1.0
54899,NAES Corporation - (DE),599.0,McKee Run,1,1,4.0
54899,NAES Corporation - (DE),599.0,McKee Run,2,2,4.0
54899,NAES Corporation - (DE),599.0,McKee Run,3,3,4.0
60421,Brandon Shores LLC,602.0,Brandon Shores,1,1,1.0
60421,Brandon Shores LLC,602.0,Brandon Shores,2,2,1.0
6452,Florida Power & Light Co,609.0,Cape Canaveral,PCC1,1,3.0
6452,Florida Power & Light Co,609.0,Cape Canaveral,PCC2,2,3.0
6452,Florida Power & Light Co,609.0,Cape Canaveral,1,3ST,3.0
6452,Florida Power & Light Co,609.0,Cape Canaveral,2,3ST,3.0
6452,Florida Power & Light Co,609.0,Cape Canaveral,3,3ST,3.0
6452,Florida Power & Light Co,610.0,Cutler,PCU5,5,4.0
6452,Florida Power & Light Co,610.0,Cutler,PCU6,6,4.0
6452,Florida Power & Light Co,612.0,Fort Myers,2A,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2C,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2E,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2B,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2F,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2D,ST1,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2E,ST2,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2C,ST2,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2F,ST2,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2B,ST2,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2A,ST2,3.0
6452,Florida Power & Light Co,612.0,Fort Myers,2D,ST2,3.0
6452,Florida Power & Light Co,613.0,Lauderdale,4A,ST4,4.0
6452,Florida Power & Light Co,613.0,Lauderdale,4B,ST4,4.0
6452,Florida Power & Light Co,613.0,Lauderdale,5A,ST5,4.0
6452,Florida Power & Light Co,613.0,Lauderdale,5B,ST5,4.0
6452,Florida Power & Light Co,617.0,Port Everglades,PPE5,5ST,3.0
6452,Florida Power & Light Co,617.0,Port Everglades,PPE1,ST1,3.0
6452,Florida Power & Light Co,617.0,Port Everglades,PPE2,ST2,3.0
6452,Florida Power & Light Co,617.0,Port Everglades,PPE3,ST3,3.0
6452,Florida Power & Light Co,617.0,Port Everglades,PPE4,ST4,3.0
6452,Florida Power & Light Co,619.0,Riviera,PRV3,3,1.0
6452,Florida Power & Light Co,619.0,Riviera,PRV4,4,1.0
6452,Florida Power & Light Co,619.0,Riviera,1,5ST,1.0
6452,Florida Power & Light Co,620.0,Sanford,PSN3,3,3.0
6452,Florida Power & Light Co,620.0,Sanford,PSN4,4,3.0
6452,Florida Power & Light Co,620.0,Sanford,PSN5,5,3.0
6452,Florida Power & Light Co,621.0,Turkey Point,NSS3,3,3.0
6452,Florida Power & Light Co,621.0,Turkey Point,NSS4,4,3.0
6452,Florida Power & Light Co,621.0,Turkey Point,PTP5,5CA,3.0
6452,Florida Power & Light Co,621.0,Turkey Point,PTP1,ST1,3.0
6452,Florida Power & Light Co,621.0,Turkey Point,PTP2,ST2,3.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,1,1,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,2,2,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,NSS3,3,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,5,5,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,CC1BB,CC1ST,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,CC1BA,CC1ST,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,CC2BB,CC2ST,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,CC2BA,CC2ST,1.0
6455,"Duke Energy Florida, LLC",628.0,Crystal River,4,ST4,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,4C,4ST,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,4D,4ST,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,4B,4ST,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,4A,4ST,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,1,ST1,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,2,ST2,1.0
6455,"Duke Energy Florida, LLC",634.0,P L Bartow,3,ST3,1.0
6455,"Duke Energy Florida, LLC",638.0,Suwannee River,1,1,4.0
6455,"Duke Energy Florida, LLC",638.0,Suwannee River,2,2,4.0
6455,"Duke Energy Florida, LLC",638.0,Suwannee River,3,3,4.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,2,2,1.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,3,3,1.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,4,4,1.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,5,5,1.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,6,6,1.0
6452,Florida Power & Light Co,641.0,Gulf Clean Energy Center,7,7,1.0
6452,Florida Power & Light Co,642.0,Scholz,1,1,4.0
6452,Florida Power & Light Co,642.0,Scholz,2,2,4.0
6452,Florida Power & Light Co,643.0,Lansing Smith,1,1,1.0
6452,Florida Power & Light Co,643.0,Lansing Smith,2,2,1.0
6452,Florida Power & Light Co,643.0,Lansing Smith,4,3S,1.0
6452,Florida Power & Light Co,643.0,Lansing Smith,5,3S,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB01,ST1,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB06,ST1,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB05,ST1,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB02,ST2,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB03,ST3,1.0
18454,Tampa Electric Co,645.0,Big Bend,BB04,ST4,1.0
7140,Georgia Power Co,649.0,Vogtle,NSS1,1,3.0
7140,Georgia Power Co,649.0,Vogtle,NSS2,2,3.0
7140,Georgia Power Co,649.0,Vogtle,NSS3,3,3.0
7140,Georgia Power Co,649.0,Vogtle,NSS4,4,3.0
6616,Fort Pierce Utilities Authority,658.0,Henry D King,6,6,4.0
6616,Fort Pierce Utilities Authority,658.0,Henry D King,7,7,4.0
6616,Fort Pierce Utilities Authority,658.0,Henry D King,8,8,4.0
6909,Gainesville Regional Utilities,663.0,Deerhaven Generating Station,B1,1,1.0
6909,Gainesville Regional Utilities,663.0,Deerhaven Generating Station,B2,2,1.0
6909,Gainesville Regional Utilities,664.0,John R Kelly,JRK7,7,4.0
6909,Gainesville Regional Utilities,664.0,John R Kelly,JRK8,8,4.0
9617,JEA,667.0,Northside Generating Station,1,1,1.0
9617,JEA,667.0,Northside Generating Station,2,2,1.0
9617,JEA,667.0,Northside Generating Station,3,ST3,1.0
10376,Kissimmee Utility Authority,672.0,Hansel,MS21B,22,4.0
10376,Kissimmee Utility Authority,672.0,Hansel,MS21B,23,4.0
10620,City of Lake Worth Beach - (FL),673.0,Tom G Smith,S-3,S3,2.0
10620,City of Lake Worth Beach - (FL),673.0,Tom G Smith,S-5,S5,2.0
10623,City of Lakeland - (FL),675.0,Larsen Memorial,HRSG,5,4.0
10623,City of Lakeland - (FL),675.0,Larsen Memorial,6,6,4.0
10623,City of Lakeland - (FL),676.0,C D McIntosh Jr,3,3,3.0
10623,City of Lakeland - (FL),676.0,C D McIntosh Jr,HRSG,5ST,3.0
10623,City of Lakeland - (FL),676.0,C D McIntosh Jr,1,ST1,3.0
10623,City of Lakeland - (FL),676.0,C D McIntosh Jr,2,ST2,3.0
18445,City of Tallahassee - (FL),688.0,Arvah B Hopkins,1,1,1.0
18445,City of Tallahassee - (FL),688.0,Arvah B Hopkins,2A,2,1.0
18445,City of Tallahassee - (FL),688.0,Arvah B Hopkins,2,2,1.0
18445,City of Tallahassee - (FL),689.0,S O Purdom,7,7,4.0
18445,City of Tallahassee - (FL),689.0,S O Purdom,9,9,4.0
7140,Georgia Power Co,703.0,Bowen,1BLR,1,1.0
7140,Georgia Power Co,703.0,Bowen,2BLR,2,1.0
7140,Georgia Power Co,703.0,Bowen,3BLR,3,1.0
7140,Georgia Power Co,703.0,Bowen,4BLR,4,1.0
7140,Georgia Power Co,708.0,Hammond,1,1,4.0
7140,Georgia Power Co,708.0,Hammond,2,2,4.0
7140,Georgia Power Co,708.0,Hammond,3,3,4.0
7140,Georgia Power Co,708.0,Hammond,4,4,4.0
7140,Georgia Power Co,709.0,Harllee Branch,1,1,4.0
