Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
7601,Green Mountain Power Corp,62382,GMP Solar/Storage-Ferrisburgh Hybrid,VT,GMPSF,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
7601,Green Mountain Power Corp,62383,GMP Solar/Storage-Essex Hybrid,VT,GMPBE,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
7601,Green Mountain Power Corp,62383,GMP Solar/Storage-Essex Hybrid,VT,GMPSE,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
65411,Duke Energy Renewables Services,62448,Lapetus,TX,LAP,OP,"Lapetus Energy Project, LLC","550 S. Caldwell Street, NAS09, Suite 925",Charlotte,NC,28202,61960,1.0
57128,Bloom Energy,62455,Digital Fairfield,CT,DGR01,OP,Wells Fargo Equipment Finance Inc,733 Marquette Ave,Minneapolis,MN,55402,58510,1.0
57128,Bloom Energy,62456,Regeneron Tarrytown,NY,RGP00,OP,Key Equipment Finance,1000 McCaslin Blvd,Superior,CO,80027,62002,1.0
57128,Bloom Energy,62458,Ratkovich Alhambra,CA,RAT00,OP,Crestmark Bank,"5480 Corporate Drive, suite 350",Troy,MI,48098,59413,1.0
57128,Bloom Energy,62459,Micro Santa Clara,CA,SMC01,OP,Key Equipment Finance,1000 McCaslin Blvd,Superior,CO,80027,62002,1.0
61194,Generate Capital,62471,Washington St Community Solar Farm #4,NY,1034,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
61194,Generate Capital,62472,Washington St Community Solar Farm #1,NY,617,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
61194,Generate Capital,62473,Washington St Community Solar Farm #3,NY,1035,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
61194,Generate Capital,62476,Big Tree Community Solar Farm,NY,607,OP,Generate NY Community Solar Lessor III,"560 Davis Street, Suite 250",San Francisco,CA,94111,65331,1.0
61194,Generate Capital,62480,Burritt Rd Community Solar Farm,NY,635,OP,Generate NY Community Solar Lessor II,"560 Davis Street, Suite 250",San Francisco,CA,94111,65341,1.0
17650,Southern Power Co,62482,Beech Ridge II Wind Energy Center,WV,GEN1,OP,"Beech Ridge Energy II, LLC","30 Ivan Allen Jr. Blvd, NW",Atlanta,GA,30308,63936,1.0
65925,Taygete Energy Project LLC,62483,Taygete Energy Project LLC,TX,PV1,OP,"TE Taygete Energy HoldCo, LLC","3809 Juniper Trace, Suite 100",Austin,TX,78738,63901,1.0
9234,Indiana Municipal Power Agency,62484,Crawfordsville 2 Solar Park,IN,SCRA2,OP,"Crawfordsville 2 Solar Array, LLC",1000 E 116th st,Carmel,IN,46032,64017,1.0
9234,Indiana Municipal Power Agency,62485,Crawfordsville 3 Solar Park,IN,SCRA3,OP,"Crawfordsville 3 Solar Array, LLC",1000 E 116th st,Carmel,IN,46032,64036,1.0
65411,Duke Energy Renewables Services,62495,Palmer Solar,CO,20181,OP,"Palmer Solar, LLC","550 S. Caldwell Street, NAS09, Suite 925",Charlotte,NC,28202,62009,1.0
61194,Generate Capital,62496,Telegraph Rd #1 Community Solar Farm,NY,1268,OP,Generate NY Community Solar IV,"560 Davis Street, Suite 250",San Francisco,CA,94111,65328,1.0
61978,Convergent Energy and Power LP,62497,Orange County Energy Storage 2,CA,OCES2,OP,"Orange County Energy Storage 2, LLC","7 Times Square, Suite 3504",New York,NY,10036,65333,1.0
61194,Generate Capital,62498,Telegraph Rd #2 Community Solar Farm,NY,1413,OP,Generate NY Community Solar IV,"560 Davis Street, Suite 250",San Francisco,CA,94111,65328,1.0
