Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
50123,Infigen Asset Management LLC,56451,Allegheny Ridge Wind Farm,PA,Cambria,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.0,80.0,80.0,6,2007,Gamesa,G87-2.0,19,2,256,unknown
54684,"Flat Rock Windpower, LLC",56290,Maple Ridge Wind Farm,NY,Lewis,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,137.0,137.0,137.0,12,2005,Vestas,V82,19,2,262,36-002501
54684,"Flat Rock Windpower, LLC",56290,Maple Ridge Wind Farm,NY,Lewis,1A,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,61.0,61.0,61.0,1,2006,Vestas,V82,19,2,262,36-002502
54684,"Flat Rock Windpower, LLC",56290,Maple Ridge Wind Farm,NY,Lewis,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,33.0,33.0,33.0,6,2006,Vestas,V82,19,2,262,36-002698
54684,"Flat Rock Windpower, LLC",56290,Maple Ridge Wind Farm,NY,Lewis,3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,91.0,91.0,91.0,12,2006,Vestas,V82,19,2,262,36-002714
54707,Blue Canyon Windpower II LLC,56335,Blue Canyon Windpower II,OK,Comanche,EW2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,151.0,151.0,151.0,12,2005,Vestas,V80,16.1,2,262,3661
54709,High Trail Wind Farm LLC,56338,High Trail Wind Farm LLC,IL,McLean,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,198.0,198.0,198.0,3,2007,Vestas,V82 1.65MW,19,2,262,17-003706
54717,FPL Energy Burleigh County Wind LLC,56357,FPL Energy Burleigh County Wind,ND,Burleigh,GE,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,18.0,18.0,18.0,2,2006,GE,GE 1.5 SLE,19,2,262.5,38-020695
54717,FPL Energy Burleigh County Wind LLC,56357,FPL Energy Burleigh County Wind,ND,Burleigh,GE15,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,31.5,31.5,31.5,12,2005,GE,GE 1.5 SLE,19,2,262.5,38-020696
54725,CHI Operations Inc,55561,Tsar Nicholas LLC,MN,Lincoln,TN30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55562,Sun River LLC,MN,Lincoln,SU30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55563,Julia Hills LLC,MN,Lincoln,JH30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55564,Jessica Mills LLC,MN,Lincoln,JM30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55565,Jack River LLC,MN,Lincoln,JR30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55566,Autumn Hills LLC,MN,Lincoln,AH30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55567,Winters Spawn LLC,MN,Lincoln,WS30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55568,Twin Lake Hills LLC,MN,Lincoln,TL30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,12,2000,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55569,Spartan Hills LLC,MN,Lincoln,SH30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55570,Soliloquoy Ridge LLC,MN,Lincoln,SR30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55571,Ruthton Ridge LLC,MN,Lincoln,RR30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55572,Hope Creek LLC,MN,Lincoln,HC30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55573,Hadley Ridge LLC,MN,Lincoln,HR30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,12,2000,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55574,Florence Hills LLC,MN,Lincoln,FH30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,1,2001,Vestas,V47,24,2,262,
54725,CHI Operations Inc,55576,Agassiz Beach LLC,MN,Clay,AB30,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.9,1.9,1.9,2,2001,Vestas,V47,24,2,262,
54759,Lone Star Wind Farm LLC,56395,Mesquite Wind Power LLC,TX,Shackelford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.0,200.0,200.0,11,2007,Gamesa,G87,33,2,255,48-015973
54759,Lone Star Wind Farm LLC,56483,Post Oak Wind LLC,TX,Shackelford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.0,200.0,200.0,3,2008,Gamesa,V87,15,2,255,48-016909
54789,AgriWind LLC,56408,Agriwind LLC,IL,BUREAU,AWND1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,8.4,8.4,8.4,7,2007,Suzlon,S-88,15.9,2,259.2,17-003832
54790,Stahl Wind Energy LLC,56409,Stahl Wind Energy,MN,Pipestone,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.7,1.7,1.7,12,2004,Vestas,V82,18.6,1,240,27-002441
54791,Carstensen Wind LLC,56410,Carstensen Wind,MN,PIPESTONE,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.7,1.7,1.7,12,2004,Vestas,V82,17.4,1,240,27-002440
54792,Northern Lights Wind LLC,56411,Northern Lights Wind LLC,MN,PIPESTONE,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.7,1.7,1.7,12,2004,Vestas,V82,18.1,1,240,27-002441
54793,Lucky Wind LLC,56412,Lucky Wind,MN,Pipestone,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.7,1.7,1.7,12,2004,Vestas,V82,17.6,1,240,27-002438
54794,Greenback Energy LLC,56413,Greenback Energy,MN,Pipestone,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.7,1.7,1.7,12,2004,Vestas,V82,18.4,1,240,27-002442
54799,FPL Energy Oliver County Wind II LLC,56573,FPL Energy Oliver Wind II LLC,ND,Oliver,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,48.0,48.0,48.0,12,2007,GE,GE 1.5-77M,19,2,262.5,38-001171
